time;strands;temp;finals
0;10;22.5;0.0
8000;10;22.5;0.0
16000;10;22.5;0.0
24000;10;22.5;0.0
32000;10;22.5;0.0
40000;10;22.5;0.0025
48000;10;22.5;0.1025
56000;10;22.5;0.185
64000;10;22.5;0.0725
72000;10;22.5;0.1525
80000;10;22.5;0.1325
88000;10;22.5;0.245
96000;10;22.5;0.2025
104000;10;22.5;0.2975
112000;10;22.5;0.195
120000;10;22.5;0.125
128000;10;22.5;0.2325
136000;10;22.5;0.2725
144000;10;22.5;0.24
152000;10;22.5;0.245
160000;10;22.5;0.22
168000;10;22.5;0.295
176000;10;22.5;0.225
184000;10;22.5;0.1725
192000;10;22.5;0.18
